bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,distance
91165,50.587148,8.682158,2024-11-06 14:53:01.449360,50.580418,8.664761,2024-11-06 15:03:02.239400,0 days 00:10:00.790040,1752.0380000000002
91173,50.576216,8.69397,2024-11-06 14:12:04.066075,50.582722,8.673988,2024-11-06 14:22:02.219019,0 days 00:09:58.152944,2026.279
91173,50.582722,8.673988,2024-11-06 14:30:02.017366,50.576661,8.692147,2024-11-06 14:38:01.437227,0 days 00:07:59.419861,1715.549
91173,50.576661,8.692147,2024-11-06 14:44:02.607128,50.580751,8.677584,2024-11-06 14:52:01.982886,0 days 00:07:59.375758,1421.0420000000001
91173,50.580751,8.677584,2024-11-06 14:52:01.982886,50.580591,8.677482,2024-11-06 14:53:01.449360,0 days 00:00:59.466474,93.134
91173,50.580591,8.677482,2024-11-06 14:54:01.833736,50.580618,8.67749,2024-11-06 14:55:03.040396,0 days 00:01:01.206660,0.0
91173,50.580618,8.67749,2024-11-06 14:56:01.440613,50.580844,8.67758,2024-11-06 14:57:02.125797,0 days 00:01:00.685184,93.134
91173,50.580844,8.67758,2024-11-06 14:57:02.125797,50.580702,8.677496,2024-11-06 14:58:01.534617,0 days 00:00:59.408820,93.134
91179,50.589469,8.681104,2024-11-06 14:38:01.437227,50.581152,8.664379,2024-11-06 15:04:04.549566,0 days 00:26:03.112339,1680.867
91187,50.576661,8.692147,2024-11-06 14:22:02.219019,50.588952,8.672911,2024-11-06 14:33:01.663582,0 days 00:10:59.444563,2290.2879999999996
91198,50.592037,8.66542,2024-11-06 14:00:02.551065,50.576661,8.692147,2024-11-06 14:17:01.715931,0 days 00:16:59.164866,3129.4269999999997
91198,50.576661,8.692147,2024-11-06 14:40:01.424742,50.588102,8.677491,2024-11-06 14:58:01.534617,0 days 00:18:00.109875,2122.187
91205,50.576661,8.692147,2024-11-06 14:38:01.437227,50.582722,8.673988,2024-11-06 14:47:01.613764,0 days 00:09:00.176537,1861.641
91213,50.585239,8.699665,2024-11-06 14:41:01.891032,50.587726,8.668395,2024-11-06 14:54:01.833736,0 days 00:12:59.942704,2710.5149999999994
91229,50.585584,8.684702,2024-11-06 14:40:01.424742,50.580329,8.663378,2024-11-06 14:51:01.560219,0 days 00:11:00.135477,2064.2320000000004
91229,50.580329,8.663378,2024-11-06 14:51:01.560219,50.580418,8.664761,2024-11-06 14:52:01.982886,0 days 00:01:00.422667,162.65499999999997
91244,50.587726,8.668395,2024-11-06 14:44:02.607128,50.565264,8.687189,2024-11-06 15:01:01.868848,0 days 00:16:59.261720,3336.134
91249,50.571078,8.674602,2024-11-06 14:20:01.434163,50.587726,8.668395,2024-11-06 14:40:01.424742,0 days 00:19:59.990579,2445.8399999999997
91256,50.588952,8.672911,2024-11-06 14:53:01.449360,50.582722,8.673988,2024-11-06 14:58:01.534617,0 days 00:05:00.085257,880.0740000000002
91260,50.587148,8.682158,2024-11-06 14:25:01.378458,50.588102,8.677491,2024-11-06 14:30:02.017366,0 days 00:05:00.638908,499.90600000000006
91297,50.576661,8.692147,2024-11-06 14:52:01.982886,50.586566,8.67686,2024-11-06 15:02:02.715077,0 days 00:10:00.732191,1895.893
91298,50.589469,8.681104,2024-11-06 14:38:01.437227,50.581152,8.664379,2024-11-06 15:04:04.549566,0 days 00:26:03.112339,1680.867
91337,50.587726,8.668395,2024-11-06 14:45:02.070880,50.592037,8.66542,2024-11-06 14:49:01.672045,0 days 00:03:59.601165,726.345
91343,50.588102,8.677491,2024-11-06 14:28:02.128389,50.586566,8.67686,2024-11-06 14:32:02.266793,0 days 00:04:00.138404,604.7729999999999
91351,50.571078,8.674602,2024-11-06 14:13:01.545078,50.576216,8.69397,2024-11-06 14:26:02.225311,0 days 00:13:00.680233,2007.238
91351,50.576216,8.69397,2024-11-06 14:31:01.400382,50.58453,8.680142,2024-11-06 14:41:01.891032,0 days 00:10:00.490650,1899.655
91352,50.587726,8.668395,2024-11-06 14:45:02.070880,50.592037,8.66542,2024-11-06 14:49:01.672045,0 days 00:03:59.601165,726.345
91355,50.579946,8.67848,2024-11-06 13:48:01.848384,50.578991,8.664509,2024-11-06 14:02:01.430059,0 days 00:13:59.581675,1296.7609999999995
91357,50.564844,8.656266,2024-11-06 13:51:01.976851,50.564738,8.65619,2024-11-06 13:52:01.402741,0 days 00:00:59.425890,0.0
91357,50.564738,8.65619,2024-11-06 13:52:01.402741,50.564769,8.656157,2024-11-06 13:53:02.086127,0 days 00:01:00.683386,0.0
91359,50.576216,8.69397,2024-11-06 13:53:02.086127,50.586566,8.67686,2024-11-06 14:07:01.525149,0 days 00:13:59.439022,2113.815
