trip_date,bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time
2024-11-19,386030,50.580418,8.664761,2024-11-19 18:08:02.548826,50.585137,8.671877,2024-11-19 18:14:02.565049
2024-11-19,386030,50.585137,8.671877,2024-11-19 22:47:01.700287,50.588132,8.675346,2024-11-19 22:51:01.84268
2024-11-19,386031,50.586566,8.67686,2024-11-19 07:16:01.917173,50.570978,8.672389,2024-11-19 10:03:01.441784
2024-11-19,386031,50.570978,8.672389,2024-11-19 14:58:02.796536,50.578991,8.664509,2024-11-19 15:03:01.684895
2024-11-19,386031,50.578991,8.664509,2024-11-19 21:42:01.861305,50.564109,8.677573,2024-11-19 21:59:02.204842
2024-11-19,386032,50.587726,8.668395,2024-11-19 10:16:02.762035,50.587148,8.682158,2024-11-19 10:27:02.233908
2024-11-19,386032,50.587148,8.682158,2024-11-19 10:29:02.65675,50.589469,8.681104,2024-11-19 10:33:01.811371
2024-11-19,386033,50.585137,8.671877,2024-11-19 06:55:02.056017,50.587148,8.682158,2024-11-19 07:02:01.69665
2024-11-19,386033,50.587148,8.682158,2024-11-19 14:17:01.711176,50.587726,8.668395,2024-11-19 14:25:02.131293
2024-11-19,386035,50.592037,8.66542,2024-11-19 09:48:01.503527,50.585137,8.671877,2024-11-19 09:55:02.159626
2024-11-19,386035,50.585137,8.671877,2024-11-19 12:47:01.472994,50.585822,8.683753,2024-11-19 12:53:01.677944
2024-11-19,386035,50.585822,8.683753,2024-11-19 12:53:01.677944,50.585584,8.684702,2024-11-19 12:54:04.993577
2024-11-19,386035,50.585584,8.684702,2024-11-19 15:31:01.812037,50.587726,8.668395,2024-11-19 15:41:01.735051
2024-11-19,386035,50.587726,8.668395,2024-11-19 17:36:02.050643,50.588971,8.662469,2024-11-19 17:40:02.293705
2024-11-19,386035,50.588971,8.662469,2024-11-19 19:33:01.450243,50.585137,8.671877,2024-11-19 19:39:01.69145
2024-11-19,386037,50.58453,8.680142,2024-11-19 19:27:03.005134,50.579946,8.67848,2024-11-19 19:34:01.925608
2024-11-19,386038,50.592037,8.66542,2024-11-19 12:02:01.541248,50.59863,8.692892,2024-11-19 12:26:01.514589
2024-11-19,386039,50.580418,8.664761,2024-11-19 06:01:01.665659,50.585137,8.671877,2024-11-19 06:06:02.436041
2024-11-19,386039,50.585137,8.671877,2024-11-19 06:38:01.902339,50.576216,8.69397,2024-11-19 06:50:02.362834
2024-11-19,386039,50.576216,8.69397,2024-11-19 16:03:02.022759,50.59863,8.692892,2024-11-19 16:26:02.152933
2024-11-19,386041,50.586566,8.67686,2024-11-19 07:24:02.083901,50.570978,8.672389,2024-11-19 10:03:01.441784
2024-11-19,386041,50.570978,8.672389,2024-11-19 17:17:01.810468,50.569524,8.671908,2024-11-19 17:18:02.343088
2024-11-19,386041,50.569524,8.671908,2024-11-19 17:18:02.343088,50.570978,8.672389,2024-11-19 17:19:01.883052
2024-11-19,386041,50.570978,8.672389,2024-11-19 23:32:02.029814,50.587726,8.668395,2024-11-19 23:48:01.651891
2024-11-19,386042,50.585584,8.684702,2024-11-19 06:10:01.608749,50.580753,8.695099,2024-11-19 06:45:01.597977
2024-11-19,386042,50.580753,8.695099,2024-11-19 11:02:02.031016,50.573486,8.700008,2024-11-19 11:09:01.857123
2024-11-19,386042,50.573486,8.700008,2024-11-19 12:40:01.933588,50.580418,8.664761,2024-11-19 12:56:02.11027
2024-11-19,386042,50.580418,8.664761,2024-11-19 13:40:02.119833,50.579946,8.67848,2024-11-19 13:47:01.451646
2024-11-19,386042,50.579946,8.67848,2024-11-19 16:07:01.71942,50.585716,8.657575,2024-11-19 16:25:02.072792
2024-11-19,386043,50.589469,8.681104,2024-11-19 03:59:01.792013,50.580418,8.664761,2024-11-19 04:08:01.388908
2024-11-19,386043,50.580418,8.664761,2024-11-19 07:43:02.330296,50.570486,8.665858,2024-11-19 07:58:01.39769
2024-11-19,386043,50.570486,8.665858,2024-11-19 11:46:02.027163,50.585137,8.671877,2024-11-19 12:08:02.182811
2024-11-19,386043,50.585137,8.671877,2024-11-19 12:47:01.472994,50.588102,8.677491,2024-11-19 12:52:02.125783
2024-11-19,386046,50.580418,8.664761,2024-11-19 10:24:02.350702,50.588971,8.662469,2024-11-19 10:32:02.269964
2024-11-19,386046,50.588971,8.662469,2024-11-19 11:43:01.71215,50.576661,8.692147,2024-11-19 11:58:02.283813
2024-11-19,386046,50.576661,8.692147,2024-11-19 12:00:02.455164,50.579946,8.67848,2024-11-19 12:06:01.98385
2024-11-19,386046,50.579946,8.67848,2024-11-19 16:20:01.677507,50.585137,8.671877,2024-11-19 16:27:01.685825
2024-11-19,386046,50.585137,8.671877,2024-11-19 17:50:01.660886,50.579946,8.67848,2024-11-19 17:55:04.713223
2024-11-19,386046,50.579946,8.67848,2024-11-19 20:44:01.545439,50.585239,8.699665,2024-11-19 20:58:01.647644
2024-11-19,386047,50.58871,8.679618,2024-11-19 07:01:02.166555,50.587458,8.683114,2024-11-19 07:02:01.69665
2024-11-19,386047,50.587458,8.683114,2024-11-19 07:02:01.69665,50.587476,8.683352,2024-11-19 07:03:02.333483
2024-11-19,386047,50.587476,8.683352,2024-11-19 07:05:01.394698,50.58871,8.679618,2024-11-19 07:06:02.015637
2024-11-19,386048,50.581152,8.664379,2024-11-19 06:49:01.833119,50.587148,8.682158,2024-11-19 06:59:01.515925
2024-11-19,386048,50.587148,8.682158,2024-11-19 15:56:01.90855,50.587726,8.668395,2024-11-19 16:04:01.553095
2024-11-19,386048,50.587726,8.668395,2024-11-19 16:33:02.326132,50.592037,8.66542,2024-11-19 16:38:01.447417
2024-11-19,386049,50.587726,8.668395,2024-11-19 06:47:01.779625,50.587148,8.682158,2024-11-19 06:54:01.43678
2024-11-19,386049,50.587148,8.682158,2024-11-19 16:19:02.063662,50.580418,8.664761,2024-11-19 16:41:01.617036
2024-11-19,386050,50.592037,8.66542,2024-11-19 07:12:03.600191,50.588952,8.672911,2024-11-19 07:21:01.807561
2024-11-19,386050,50.588952,8.672911,2024-11-19 07:33:01.945924,50.580418,8.664761,2024-11-19 07:41:02.340652
2024-11-19,386050,50.580418,8.664761,2024-11-19 08:55:01.696915,50.579946,8.67848,2024-11-19 09:03:02.02325
2024-11-19,386050,50.579946,8.67848,2024-11-19 09:04:01.557926,50.576216,8.69397,2024-11-19 09:13:02.114438
2024-11-19,386050,50.576216,8.69397,2024-11-19 11:39:02.365344,50.588952,8.672911,2024-11-19 11:50:02.259536
2024-11-19,386051,50.585239,8.699665,2024-11-19 07:02:01.69665,50.576775,8.694906,2024-11-19 07:09:03.267806
2024-11-19,386051,50.576775,8.694906,2024-11-19 14:44:01.731458,50.592037,8.66542,2024-11-19 15:07:02.247143
2024-11-19,386052,50.581759,8.670118,2024-11-19 12:57:02.000308,50.578991,8.664509,2024-11-19 13:04:02.100841
2024-11-19,386052,50.578991,8.664509,2024-11-19 23:24:01.978245,50.565941,8.65186,2024-11-19 23:34:02.213161
2024-11-19,386054,50.585584,8.684702,2024-11-19 05:38:01.602384,50.580753,8.695099,2024-11-19 06:45:01.597977
2024-11-19,386054,50.580753,8.695099,2024-11-19 10:03:01.441784,50.576661,8.692147,2024-11-19 10:10:02.968488
2024-11-19,386054,50.576661,8.692147,2024-11-19 16:59:01.479032,50.586566,8.67686,2024-11-19 17:10:03.045985
2024-11-19,386055,50.579946,8.67848,2024-11-19 08:51:01.450821,50.580753,8.695099,2024-11-19 09:01:01.86474
2024-11-19,386056,50.585584,8.684702,2024-11-19 05:40:01.792606,50.580753,8.695099,2024-11-19 06:45:01.597977
2024-11-19,386056,50.580753,8.695099,2024-11-19 08:41:02.397452,50.573486,8.700008,2024-11-19 08:53:01.583118
2024-11-19,386056,50.573486,8.700008,2024-11-19 10:51:01.505664,50.580418,8.664761,2024-11-19 11:13:02.063848
2024-11-19,386056,50.580418,8.664761,2024-11-19 11:35:01.994248,50.576661,8.692147,2024-11-19 11:45:03.370823
2024-11-19,386057,50.579946,8.67848,2024-11-19 08:34:02.202234,50.587726,8.668395,2024-11-19 08:47:02.175042
2024-11-19,386057,50.587726,8.668395,2024-11-19 09:35:01.539679,50.579946,8.67848,2024-11-19 09:42:02.000247
2024-11-19,386057,50.579946,8.67848,2024-11-19 09:58:01.808991,50.576661,8.692147,2024-11-19 10:05:01.532221
2024-11-19,386057,50.576661,8.692147,2024-11-19 17:06:01.514821,50.581152,8.664379,2024-11-19 17:19:01.883052
2024-11-19,386057,50.581152,8.664379,2024-11-19 19:14:02.446022,50.588971,8.662469,2024-11-19 19:23:01.589233
2024-11-19,386060,50.581759,8.670118,2024-11-19 00:57:02.39071,50.58288,8.671721,2024-11-19 00:58:01.893044
2024-11-19,386060,50.58288,8.671721,2024-11-19 00:58:01.893044,50.582391,8.67091,2024-11-19 00:59:01.403306
2024-11-19,386060,50.582391,8.67091,2024-11-19 09:03:02.02325,50.582209,8.670854,2024-11-19 09:04:01.557926
2024-11-19,386060,50.582209,8.670854,2024-11-19 09:04:01.557926,50.581759,8.670118,2024-11-19 09:05:02.102475
2024-11-19,386060,50.581759,8.670118,2024-11-19 17:09:02.137408,50.585137,8.671877,2024-11-19 17:13:01.708964
2024-11-19,386060,50.585137,8.671877,2024-11-19 19:43:02.311527,50.582342,8.670614,2024-11-19 19:49:01.995351
2024-11-19,386060,50.582342,8.670614,2024-11-19 19:49:01.995351,50.581759,8.670118,2024-11-19 19:50:01.548079
2024-11-19,386061,50.585584,8.684702,2024-11-19 17:43:01.881897,50.571078,8.674602,2024-11-19 18:21:01.607491
2024-11-19,386061,50.571078,8.674602,2024-11-19 18:58:01.649986,50.587148,8.682158,2024-11-19 19:13:01.856214
2024-11-19,386063,50.588102,8.677491,2024-11-19 07:35:02.039419,50.58453,8.680142,2024-11-19 07:40:01.776954
2024-11-19,386064,50.581759,8.670118,2024-11-19 07:03:02.333483,50.573486,8.700008,2024-11-19 07:18:02.088522
2024-11-19,386064,50.573486,8.700008,2024-11-19 10:29:02.65675,50.57525,8.697667,2024-11-19 10:33:01.811371
2024-11-19,386064,50.57525,8.697667,2024-11-19 13:13:03.111156,50.573486,8.700008,2024-11-19 13:16:01.706087
2024-11-19,386064,50.573486,8.700008,2024-11-19 14:09:02.038929,50.579946,8.67848,2024-11-19 14:36:02.081322
