id,id,bikeId,timestamp,latitude,longitude,prev_id,next_id,prev_lat,prev_lon,next_lat,next_lon,end_timestamp,mode
37,37,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,2024-11-05 15:42:01.295345,50.582722,8.673988,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,50.582722,8.673988,-1.0,-1.0,,trip
38,38,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,2024-11-05 15:25:58.716826,50.588971,8.662469,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,50.582722,8.673988,50.588971,8.662469,2024-11-05 20:51:02.001591,accessible
39,39,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,2024-11-05 20:51:02.001591,50.588971,8.662469,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,50.588971,8.662469,-1.0,-1.0,,trip
40,40,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,2024-11-05 16:14:02.205246,50.579946,8.67848,0AlNRdW7x4DqEoMtVqVVReDVbQ1PG9KM,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,50.588971,8.662469,50.579946,8.67848,2024-11-05 16:18:02.288351,accessible
41,41,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,2024-11-05 16:18:02.288351,50.579946,8.67848,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,50.579946,8.67848,-1.0,-1.0,,trip
42,42,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,2024-11-05 15:25:58.716826,50.590141,8.684306,18JX2eK4MD9RZe7IqWNWe9nd0xrm7QPl,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,50.579946,8.67848,50.590141,8.684306,2024-11-05 20:51:02.001591,accessible
43,43,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,2024-11-05 20:51:02.001591,50.590141,8.684306,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,50.590141,8.684306,-1.0,-1.0,,trip
44,44,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,2024-11-05 15:43:01.708918,50.582722,8.673988,18JX2eK4MD9RZkPFqWPrE4nd0xrm7QPl,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,50.590141,8.684306,50.582722,8.673988,2024-11-05 16:19:01.744581,accessible
45,45,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,2024-11-05 16:19:01.744581,50.582722,8.673988,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,50.582722,8.673988,-1.0,-1.0,,trip
46,46,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,2024-11-05 15:25:58.716826,50.576216,8.69397,18JX2eK4MD9RzA7CqWNxX8nd0xrm7QPl,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,50.582722,8.673988,50.576216,8.69397,2024-11-05 15:44:02.186497,accessible
47,47,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,2024-11-05 15:44:02.186497,50.576216,8.69397,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,50.576216,8.69397,-1.0,-1.0,,trip
48,48,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,2024-11-05 19:04:01.484724,50.588952,8.672911,18JX2eK4MD9RzAwSqWNYplnd0xrm7QPl,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,50.576216,8.69397,50.588952,8.672911,2024-11-05 20:51:02.001591,accessible
49,49,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,2024-11-05 20:51:02.001591,50.588952,8.672911,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,50.588952,8.672911,-1.0,-1.0,,trip
50,50,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,2024-11-05 15:25:58.716826,50.587726,8.668395,18JX2eK4MD9RzPNCqWNA2Nnd0xrm7QPl,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,50.588952,8.672911,50.587726,8.668395,2024-11-05 20:51:02.001591,accessible
51,51,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,2024-11-05 20:51:02.001591,50.587726,8.668395,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,50.587726,8.668395,-1.0,-1.0,,trip
52,52,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,2024-11-05 15:25:58.716826,50.587726,8.668395,18JX2eK4MD9RzPdHqWjmJNnd0xrm7QPl,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,50.587726,8.668395,50.587726,8.668395,2024-11-05 20:51:02.001591,accessible
53,53,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,2024-11-05 20:51:02.001591,50.587726,8.668395,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,50.587726,8.668395,-1.0,-1.0,,trip
54,54,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,2024-11-05 15:25:58.716826,50.587726,8.668395,18JX2eK4MD9RzPxUqWqBPand0xrm7QPl,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,50.587726,8.668395,50.587726,8.668395,2024-11-05 20:51:02.001591,accessible
55,55,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,2024-11-05 20:51:02.001591,50.587726,8.668395,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,50.587726,8.668395,-1.0,-1.0,,trip
56,56,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,2024-11-05 15:25:58.716826,50.585137,8.671877,18JX2eK4MD9RzVJcqWNXEEnd0xrm7QPl,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,50.587726,8.668395,50.585137,8.671877,2024-11-05 20:51:02.001591,accessible
57,57,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,2024-11-05 20:51:02.001591,50.585137,8.671877,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,50.585137,8.671877,-1.0,-1.0,,trip
58,58,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,2024-11-05 17:56:02.137894,50.58453,8.680142,18JX2eK4MD9RzVRCqWNX1Znd0xrm7QPl,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,50.585137,8.671877,50.58453,8.680142,2024-11-05 18:01:01.386838,accessible
59,59,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,2024-11-05 18:01:01.386838,50.58453,8.680142,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,50.58453,8.680142,-1.0,-1.0,,trip
60,60,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,2024-11-05 15:25:58.716826,50.587148,8.682158,18WeyKXB25DlEWJSXpABmKnq0lVJ3ZbY,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,50.58453,8.680142,50.587148,8.682158,2024-11-05 15:52:01.852518,accessible
61,61,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,2024-11-05 15:52:01.852518,50.587148,8.682158,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,50.587148,8.682158,-1.0,-1.0,,trip
62,62,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,2024-11-05 17:07:02.296931,50.57525,8.697667,18WeyKXB25DlEdNhXpAjPxnq0lVJ3ZbY,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,50.587148,8.682158,50.57525,8.697667,2024-11-05 17:10:01.552877,accessible
63,63,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,2024-11-05 17:10:01.552877,50.57525,8.697667,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.57525,8.697667,-1.0,-1.0,,trip
64,64,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,2024-11-05 19:53:01.538146,50.565187,8.6561,18WeyKXB25DlEdxtXpAL1rnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.57525,8.697667,50.564853,8.65627,2024-11-05 19:54:02.193190,trip
65,65,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,2024-11-05 19:54:02.193190,50.564853,8.65627,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.565187,8.6561,50.564853,8.65627,2024-11-05 19:57:01.762155,accessible
66,66,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,2024-11-05 19:57:01.762155,50.564853,8.65627,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.564853,8.65627,50.564818,8.656359,2024-11-05 19:58:02.228788,trip
67,67,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,2024-11-05 19:58:02.228788,50.564818,8.656359,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.564853,8.65627,50.564778,8.656278,2024-11-05 19:59:01.781150,trip
68,68,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,2024-11-05 19:59:01.781150,50.564778,8.656278,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,18WeyKXB25DlEyxUXpVjalnq0lVJ3ZbY,50.564818,8.656359,50.564778,8.656278,2024-11-05 20:51:02.001591,accessible
